"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2012","6.10","6.10","6.10","6.10","0","0.33"
"Feb 03, 2012","5.96","5.96","5.96","5.96","0","-2.30"
"Feb 04, 2012","5.87","5.87","5.87","5.87","0","-1.51"
"Feb 05, 2012","5.69","5.69","5.69","5.69","0","-3.07"
"Feb 06, 2012","5.45","5.45","5.45","5.45","0","-4.22"
"Feb 07, 2012","5.69","5.69","5.69","5.69","0","4.40"
"Feb 08, 2012","5.60","5.60","5.60","5.60","0","-1.58"
"Feb 09, 2012","5.83","5.83","5.83","5.83","0","4.11"
"Feb 10, 2012","5.91","5.91","5.91","5.91","0","1.37"
"Feb 11, 2012","5.60","5.60","5.60","5.60","0","-5.25"
"Feb 12, 2012","5.51","5.51","5.51","5.51","0","-1.61"
"Feb 13, 2012","5.26","5.26","5.26","5.26","0","-4.54"
"Feb 14, 2012","4.46","4.46","4.46","4.46","0","-15.21"
"Feb 15, 2012","4.33","4.33","4.33","4.33","0","-2.91"
"Feb 16, 2012","4.27","4.27","4.27","4.27","0","-1.39"
"Feb 17, 2012","4.41","4.41","4.41","4.41","0","3.28"
"Feb 18, 2012","4.22","4.22","4.22","4.22","0","-4.31"
"Feb 19, 2012","4.39","4.39","4.39","4.39","0","4.03"
"Feb 20, 2012","4.36","4.36","4.36","4.36","0","-0.68"
"Feb 21, 2012","4.27","4.27","4.27","4.27","0","-2.06"
"Feb 22, 2012","4.42","4.42","4.42","4.42","0","3.51"
"Feb 23, 2012","5.01","5.01","5.01","5.01","0","13.35"
"Feb 24, 2012","5.03","5.03","5.03","5.03","0","0.40"
"Feb 25, 2012","4.77","4.77","4.77","4.77","0","-5.17"
"Feb 26, 2012","4.92","4.92","4.92","4.92","0","3.14"
"Feb 27, 2012","4.96","4.96","4.96","4.96","0","0.81"
"Feb 28, 2012","4.87","4.87","4.87","4.87","0","-1.81"
"Feb 29, 2012","4.86","4.86","4.86","4.86","0","-0.21"
"Mar 01, 2012","4.92","4.92","4.92","4.92","0","1.23"
"Mar 02, 2012","4.70","4.70","4.70","4.70","0","-4.47"
"Mar 03, 2012","4.61","4.61","4.61","4.61","0","-1.91"
"Mar 04, 2012","4.82","4.82","4.82","4.82","0","4.56"
"Mar 05, 2012","4.98","4.98","4.98","4.98","0","3.32"
"Mar 06, 2012","4.99","4.99","4.99","4.99","0","0.20"
"Mar 07, 2012","4.94","4.94","4.94","4.94","0","-1.00"
"Mar 08, 2012","4.93","4.93","4.93","4.93","0","-0.20"
"Mar 09, 2012","4.86","4.86","4.86","4.86","0","-1.42"
"Mar 10, 2012","4.83","4.83","4.83","4.83","0","-0.62"
"Mar 11, 2012","4.91","4.91","4.91","4.91","0","1.66"
"Mar 12, 2012","4.89","4.89","4.89","4.89","0","-0.41"
"Mar 13, 2012","5.27","5.27","5.27","5.27","0","7.77"
"Mar 14, 2012","5.38","5.38","5.38","5.38","0","2.09"
"Mar 15, 2012","5.33","5.33","5.33","5.33","0","-0.93"
"Mar 16, 2012","5.34","5.34","5.34","5.34","0","0.19"
"Mar 17, 2012","5.22","5.22","5.22","5.22","0","-2.25"
"Mar 18, 2012","5.28","5.28","5.28","5.28","0","1.15"
"Mar 19, 2012","4.69","4.69","4.69","4.69","0","-11.17"
"Mar 20, 2012","4.84","4.84","4.84","4.84","0","3.20"
"Mar 21, 2012","4.81","4.81","4.81","4.81","0","-0.62"
"Mar 22, 2012","4.70","4.70","4.70","4.70","0","-2.29"
"Mar 23, 2012","4.69","4.69","4.69","4.69","0","-0.21"
"Mar 24, 2012","4.68","4.68","4.68","4.68","0","-0.21"
"Mar 25, 2012","4.55","4.55","4.55","4.55","0","-2.78"
"Mar 26, 2012","4.62","4.62","4.62","4.62","0","1.54"
"Mar 27, 2012","4.81","4.81","4.81","4.81","0","4.11"
"Mar 28, 2012","4.79","4.79","4.79","4.79","0","-0.42"
"Mar 29, 2012","4.81","4.81","4.81","4.81","0","0.42"
"Mar 30, 2012","4.86","4.86","4.86","4.86","0","1.04"
"Mar 31, 2012","4.91","4.91","4.91","4.91","0","1.03"
"Apr 01, 2012","4.83","4.83","4.83","4.83","0","-1.63"
"Apr 02, 2012","4.97","4.97","4.97","4.97","0","2.90"
"Apr 03, 2012","4.95","4.95","4.95","4.95","0","-0.40"
"Apr 04, 2012","4.91","4.91","4.91","4.91","0","-0.81"
"Apr 05, 2012","4.92","4.92","4.92","4.92","0","0.20"
"Apr 06, 2012","4.95","4.95","4.95","4.95","0","0.61"
"Apr 07, 2012","4.69","4.69","4.69","4.69","0","-5.25"
"Apr 08, 2012","4.79","4.79","4.79","4.79","0","2.13"
"Apr 09, 2012","4.87","4.87","4.87","4.87","0","1.67"
"Apr 10, 2012","4.84","4.84","4.84","4.84","0","-0.62"
"Apr 11, 2012","4.93","4.93","4.93","4.93","0","1.86"
"Apr 12, 2012","4.92","4.92","4.92","4.92","0","-0.20"
"Apr 13, 2012","4.94","4.94","4.94","4.94","0","0.41"
"Apr 14, 2012","4.96","4.96","4.96","4.96","0","0.40"
"Apr 15, 2012","4.97","4.97","4.97","4.97","0","0.20"
"Apr 16, 2012","4.93","4.93","4.93","4.93","0","-0.80"
"Apr 17, 2012","4.98","4.98","4.98","4.98","0","1.01"
"Apr 18, 2012","5.12","5.12","5.12","5.12","0","2.81"
"Apr 19, 2012","5.14","5.14","5.14","5.14","0","0.39"
"Apr 20, 2012","5.35","5.35","5.35","5.35","0","4.09"
"Apr 21, 2012","5.26","5.26","5.26","5.26","0","-1.68"
"Apr 22, 2012","5.20","5.20","5.20","5.20","0","-1.14"
"Apr 23, 2012","4.96","4.96","4.96","4.96","0","-4.62"
"Apr 24, 2012","5.10","5.10","5.10","5.10","0","2.82"
"Apr 25, 2012","5.13","5.13","5.13","5.13","0","0.59"
"Apr 26, 2012","5.10","5.10","5.10","5.10","0","-0.58"
"Apr 27, 2012","5.11","5.11","5.11","5.11","0","0.20"
"Apr 28, 2012","4.98","4.98","4.98","4.98","0","-2.54"
"Apr 29, 2012","4.90","4.90","4.90","4.90","0","-1.61"
"Apr 30, 2012","4.95","4.95","4.95","4.95","0","1.02"
"May 01, 2012","5.00","5.00","5.00","5.00","0","1.01"
"May 02, 2012","5.07","5.07","5.07","5.07","0","1.40"
"May 03, 2012","5.13","5.13","5.13","5.13","0","1.18"
"May 04, 2012","5.07","5.07","5.07","5.07","0","-1.17"
"May 05, 2012","5.08","5.08","5.08","5.08","0","0.20"
"May 06, 2012","5.05","5.05","5.05","5.05","0","-0.59"
"May 07, 2012","5.06","5.06","5.06","5.06","0","0.20"
"May 08, 2012","5.05","5.05","5.05","5.05","0","-0.20"
"May 09, 2012","5.04","5.04","5.04","5.04","0","-0.20"
"May 10, 2012","4.85","4.85","4.85","4.85","0","-3.77"
"May 11, 2012","4.96","4.96","4.96","4.96","0","2.27"
"May 12, 2012","4.95","4.95","4.95","4.95","0","-0.20"
"May 13, 2012","4.93","4.93","4.93","4.93","0","-0.40"
"May 14, 2012","5.01","5.01","5.01","5.01","0","1.62"
